appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
571040.0,PD Artist 10,,,,,,,,,,,,,,0.27,0.17,0.22,0.22,0.36,0.57,0.6,0.5,0.22,0.14,0.25,0.25,0.09,0.1,0.08,0.13,0.07,0.15,0.32,0.24,0.17,0.35,0.18,0.46,0.6,0.18,0.11,0.17,0.1,0.23,0.34,0.64,0.47,0.18,0.78
577060.0,Everyday Anatomy VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583200.0,Vision Therapy VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.05,0.01
583510.0,Air Rage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583620.0,3D Organon Anatomy,2.0,2.13,2.07,1.34,1.53,1.22,1.44,1.21,1.84,2.61,2.2,2.25,1.61,1.7,2.2,2.54,2.61,2.2,1.74,1.34,2.72,2.61,2.84,1.32,2.3,2.09,1.85,2.28,2.18,2.36,1.81,1.82,2.15,2.57,2.8,2.12,2.07,1.63,2.18,2.52,2.44,2.26,2.43,2.0,2.75,1.98,2.42,2.09
585410.0,GameMaker Studio 2 Desktop,161.63,157.04,146.63,144.83,140.69,135.45,173.3,161.52,175.42,184.84,178.15,187.61,204.78,215.69,226.9,256.45,258.84,240.33,257.63,241.33,269.71,228.43,212.61,222.03,257.81,247.14,235.37,245.68,225.04,223.82,247.46,257.37,208.99,206.46,196.9,186.27,213.94,198.17,196.02,214.74,202.4,153.55,174.1,161.29,149.53,149.65,139.06,136.64
585600.0,GameMaker Studio 2 Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585610.0,GameMaker Studio 2 UWP,0.45,0.42,0.4,0.35,0.45,0.13,0.22,0.32,0.19,0.23,0.28,0.31,0.22,0.22,0.2,0.39,0.37,0.41,0.35,0.67,1.17,0.97,0.92,1.11,0.94,1.15,1.51,0.96,0.9,1.3,0.56,0.97,0.86,0.35,0.85,1.52,1.1,0.6,1.18,1.08,1.24,1.57,1.49,1.05,1.05,1.26,0.97,0.78
585620.0,GameMaker Studio 2 Mobile,8.47,8.42,8.31,8.12,10.17,11.02,13.41,11.63,17.17,16.11,16.82,16.73,19.02,20.26,21.77,23.02,21.1,21.55,19.29,16.35,18.32,16.35,18.49,16.51,18.23,16.1,13.9,15.18,13.47,14.75,16.13,16.72,14.62,11.59,10.41,9.29,9.92,10.49,10.23,9.5,9.51,8.61,7.45,7.54,6.28,5.79,5.89,5.2
588350.0,VR Meditation SkyRun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588720.0,Easy German™ Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592450.0,FERIT Simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597910.0,Quantum Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601890.0,PD Howler 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608000.0,Buzz Aldrin: Cycling Pathways to Mars,,,,,,,,,,,,,5.68,1.21,1.53,1.0,0.46,0.32,0.31,0.28,0.32,0.23,0.27,0.22,0.31,0.2,0.15,0.34,0.09,0.62,0.31,0.15,0.19,0.37,0.27,0.18,0.65,0.27,0.42,0.32,0.21,0.29,0.45,0.65,0.61,0.6,0.62,0.26
619250.0,Gonio VR,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.05,1.09,0.43,0.09,0.52,5.75,4.84,0.4,0.03,0.01,0.24,0.16,0.18,0.13,0.29,0.28,0.14,0.04,0.59,0.25,0.22
620040.0,Multiplicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625190.0,Great Pyramid VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625480.0,LIV: VIVR,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.11,0.04,0.03,0.02,0.02,0.01,0.04,0.05,0.09,0.22,0.42,2.08,2.73,1.28,0.59,0.49,0.02,0.13,0.11,0.23,0.33,0.19,0.14
630510.0,PsychLabVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633300.0,GlobalMap Astro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638310.0,Family Tree Heritage™ Platinum 15 – Windows,,,,,,,,,,,,,,,,,,,,,,,0.28,0.48,0.34,0.15,0.31,0.24,0.22,0.1,0.53,0.32,0.01,0.51,0.27,0.07,0.2,0.09,0.09,0.05,0.03,0.09,0.03,0.05,0.12,1.19,0.88,0.87
638920.0,BeanVR—The Social VR APP,,,,,,,,,,,,,,2.19,2.12,0.74,0.92,0.16,0.11,0.35,1.65,0.88,0.37,0.19,0.25,0.41,0.16,0.11,0.27,0.33,0.62,0.37,0.42,0.22,0.45,0.43,0.51,0.5,0.5,0.18,0.45,0.68,0.88,0.51,0.41,0.59,0.41,0.48
650090.0,VeeR VR:VR Video and Movie Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650460.0,After Solitary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655580.0,Micro Cosmic Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656770.0,Douarnenez VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667110.0,Altar Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668020.0,Hindenburg 3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668030.0,Blue Flame VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668490.0,VR conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668660.0,CUR3D Steam Edition,0.77,1.12,0.42,0.93,0.78,0.97,0.99,1.34,0.88,1.27,0.87,0.51,0.38,0.69,0.36,0.4,1.44,1.33,1.23,1.47,0.8,0.91,0.73,0.79,1.75,1.5,1.3,1.19,0.93,1.67,1.13,0.93,1.07,1.0,0.81,0.76,0.97,1.02,1.22,1.2,1.19,1.06,1.07,0.89,1.35,1.19,1.27,1.34
672760.0,Oneiric Masterpieces - Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677310.0,MyMoney,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.52,0.19,0.43,0.15,0.01,0.23,0.01,0.14,0.03,0.12,0.07,0.06,0.01,0.07,0.01,0.01,0.3,0.42,0.75,0.94
683880.0,VR Robotics Simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692500.0,PianoBoard Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707280.0,ResumeMaker® Professional Deluxe 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710360.0,Personality Psychology Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714030.0,StudyX - Save Game Codes & Study Any Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716140.0,PALEO museum VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724460.0,Palm Reading Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.01,0.02,0.09,0.01,0.08,0.01,0.01
724590.0,Sharecare YOU VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.66,0.47,0.96,0.86,0.82,1.01,1.61,0.94,1.35,1.1,3.65,2.43,2.06,1.3,1.32,1.07,1.14,2.15,1.23
725610.0,foreverloops LONGPLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727030.0,Museu do Círio de Nazaré em Realidade Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728920.0,Tarot Readings Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730360.0,Sharecare VR 2017,1.67,1.06,0.75,1.31,3.34,3.48,2.91,4.53,4.6,2.94,2.73,4.47,3.01,2.89,5.34,5.18,3.55,3.64,3.23,2.75,3.42,1.66,0.61,1.67,1.0,2.06,2.46,1.79,1.04,0.9,1.01,1.13,1.2,0.99,0.96,0.77,1.18,1.2,1.6,1.78,1.08,1.19,1.49,1.08,1.35,0.86,0.97,1.34
737820.0,High Mountain Roller Coaster VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738100.0,Becoming Homeless: A Human Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738310.0,The VU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740250.0,Neos VR,3.94,5.12,5.75,7.57,8.72,10.13,13.42,15.57,13.5,12.48,13.28,19.94,19.47,23.52,29.99,32.97,35.97,43.1,52.84,57.41,60.07,68.93,79.36,84.58,109.68,118.11,123.0,153.29,172.32,164.12,178.33,170.8,180.95,182.56,168.52,168.7,181.53,194.9,172.53,165.9,154.68,139.8,240.21,289.18,205.7,179.61,173.74,171.01
751160.0,Hazard Perception Test UK 2017/18 Bundle - Driving Test Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751170.0,Driving Theory Test UK 2017/18 - Driving Test Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753200.0,Sharecare YOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.45,0.87,0.49,0.59,1.02,0.77,1.25,0.83,1.09,1.32,1.59,1.53,1.86,1.18,1.02,1.15,1.49
754010.0,"MEDICALHOLODECK. Virtual Reality for Surgical Teaching, Anatomy Training, and Medical Education",,,,,,,,,,,0.18,0.09,0.09,0.21,0.12,0.06,0.12,0.71,0.05,0.08,0.11,0.08,0.11,0.29,0.33,0.54,0.73,0.53,0.49,0.37,0.16,0.15,0.62,0.65,0.56,0.61,0.52,0.61,0.24,1.1,0.82,0.84,0.87,0.91,1.29,0.7,0.99,0.86
755370.0,Smart Junior Academy - Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763860.0,Surgera VR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.59,0.14,0.17,0.07,0.18,0.13,0.16,0.08,0.08,0.24,0.22,0.23,0.21,0.4,0.28,0.4,0.09,0.1,1.47,0.3,0.16
767240.0,BASIC8,,,,,,,,,,,,0.02,0.54,0.58,0.38,0.51,0.93,0.56,0.85,0.17,0.39,0.1,0.45,0.67,0.46,0.49,0.57,0.38,0.3,0.22,0.26,0.18,0.17,0.58,0.58,0.99,0.91,1.09,0.62,1.15,0.79,0.97,0.94,0.97,1.01,0.94,0.85,1.27
774231.0,The Kremer Collection VR Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778060.0,Specter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779120.0,Satori Sounds VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779960.0,BM Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783070.0,Robotics in VR_Close 1 generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791040.0,Virtual Reality Neuron Tracer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.17,0.12,0.21,0.25,0.26
810020.0,Belle II in Virtual Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810080.0,DMD Branefold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827280.0,School Fab Lab VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831040.0,London Museum Of Water & Steam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834170.0,Chameleon Video Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834410.0,Hacker News Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836690.0,HomestarVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837510.0,Pixel Game Maker MV,14.64,14.03,23.57,12.28,15.97,13.95,16.61,18.44,24.86,26.31,22.49,27.25,30.98,28.88,38.35,29.93,44.89,38.7,40.98,42.41,37.85,35.89,40.9,41.35,45.33,56.63,45.63,42.76,52.13,45.76,46.87,50.29,40.35,42.12,38.46,39.86,48.2,52.29,48.37,41.0,42.92,43.66,45.63,41.65,39.92,40.75,42.19,42.15
856640.0,English Teaching Assistant VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857320.0,SRPG Studio,23.46,21.63,14.38,17.63,22.88,16.81,18.46,14.59,13.74,15.95,19.28,22.41,27.56,24.26,23.78,25.82,34.99,27.62,40.66,32.25,26.69,23.38,33.39,33.12,35.42,35.13,33.07,30.9,30.54,26.56,28.6,30.31,27.27,24.71,27.25,31.12,31.61,26.54,24.6,32.7,35.02,34.62,38.63,38.38,36.57,33.8,33.68,36.8
863470.0,Cairo's Tale: The Big Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864760.0,Limouzik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871490.0,Munx VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872440.0,rumii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873860.0,Pop Island - Let's Code !!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875540.0,Virtual telescope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877850.0,TribeXR DJ School,,,,,,2.19,1.6,1.14,1.12,0.98,0.76,0.97,0.69,0.56,0.94,0.69,1.16,1.29,1.21,0.77,0.57,1.39,1.83,2.08,2.16,2.06,2.49,2.27,2.07,1.71,1.73,1.61,1.68,1.55,1.77,1.81,2.43,2.18,2.21,1.84,1.71,1.92,2.25,2.1,1.92,1.57,2.28,1.92
878880.0,AnyTime Organizer Deluxe 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878890.0,AnyTime Organizer Standard 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879660.0,10k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883290.0,MixCast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884460.0,Beyond Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891420.0,VR Model Viewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907180.0,InductVR (beta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.19,0.01,0.07,0.25,0.73
908290.0,Server Composer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910050.0,Coral Compass: Fighting Climate Change in Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.07,0.1,0.01,0.07,0.04,0.03,0.2,0.19,0.25,0.29,0.1,0.05,0.07,0.43,0.59,0.47
919280.0,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",6.16,7.78,8.56,11.68,12.39,19.24,20.09,17.09,16.61,17.53,16.66,18.46,19.96,19.33,18.83,22.05,21.92,20.97,20.41,19.26,17.9,17.85,18.04,19.59,19.76,19.89,19.32,18.04,17.32,16.13,13.01,14.72,13.58,12.14,12.29,14.44,14.9,12.41,11.79,11.99,10.92,11.51,10.63,10.58,10.97,11.56,11.33,11.93
923270.0,Rome Reborn: Roman Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925830.0,VR Anatomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932480.0,GraviSound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,0.17,0.05,0.06,0.06,0.01,0.11,8.92,0.34,0.06
934710.0,英语杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936080.0,Globe Geography 3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.01,0.01
936100.0,Master of Typing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947240.0,神遊敦煌-莫高窟第61窟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947330.0,Rome Reborn: Flight over Ancient Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947340.0,Rome Reborn: The Pantheon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947350.0,Rome Reborn: The Basilica of Maxentius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
947360.0,Rome Reborn: The Colosseum District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963040.0,Webcam World View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965070.0,EduNumbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969020.0,Movavi Video Editor 15 Plus - Video Editing Software,7.16,12.73,11.84,9.89,9.21,11.52,17.94,14.87,15.67,14.73,19.08,19.63,24.94,28.64,30.79,42.82,41.53,43.4,41.5,35.63,35.46,32.24,33.46,33.6,36.24,34.72,37.8,41.39,36.47,28.62,28.47,30.19,25.43,24.39,26.23,24.78,25.44,23.61,24.56,20.86,21.15,20.91,18.82,19.28,18.42,17.73,17.48,17.8
973360.0,Evenness Sensory Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980740.0,Boise Historic Natatorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982830.0,Cappasity Demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996150.0,SUBURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999880.0,NASA's Exoplanet Excursions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000510.0,The Marvellous Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.07,0.02,0.02,0.02,0.03,0.02,0.03
1012510.0,Greenland Melting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
